time,magnetics
2016-02-10 00:01:00.026,25262.557
2016-02-10 00:02:00.027,25261.795
2016-02-10 00:03:00.029,25259.094
2016-02-10 00:04:00.030,25256.955
2016-02-10 00:05:00.032,25253.913
2016-02-10 00:06:00.033,25249.388
2016-02-10 00:07:00.034,25245.715
2016-02-10 00:08:00.035,25242.138
2016-02-10 00:09:00.037,25239.131
2016-02-10 00:10:00.038,25234.755
2016-02-10 00:11:00.040,25234.258
2016-02-10 00:12:00.041,25231.001
2016-02-10 00:13:00.027,25231.172
2016-02-10 00:14:00.027,25230.271
2016-02-10 00:15:00.029,25228.45
2016-02-10 00:16:00.030,25228.211
2016-02-10 00:17:00.032,25228.252
2016-02-10 00:18:00.033,25228.188
2016-02-10 00:19:00.034,25230.704
2016-02-10 00:20:00.035,25229.746
2016-02-10 00:21:00.037,25231.874
2016-02-10 00:22:00.038,25233.197
2016-02-10 00:23:00.039,25233.209
2016-02-10 00:24:00.040,25234.858
2016-02-10 00:25:00.025,25235.77
2016-02-10 00:26:00.027,25235.782
2016-02-10 00:27:00.028,25237.066
2016-02-10 00:28:00.030,25239.542
2016-02-10 00:29:00.031,25240.489
2016-02-10 00:30:00.032,25240.905
2016-02-10 00:31:00.033,25242.012
2016-02-10 00:32:00.035,25244.471
2016-02-10 00:33:00.036,25242.971
2016-02-10 00:34:00.037,25244.642
2016-02-10 00:35:00.038,25244.106
2016-02-10 00:36:00.040,25247.01
2016-02-10 00:37:00.025,25246.998
2016-02-10 00:38:00.027,25247.717
2016-02-10 00:39:00.027,25247.973
2016-02-10 00:40:00.029,25248.676
2016-02-10 00:41:00.030,25249.658
2016-02-10 00:42:00.031,25248.601
2016-02-10 00:43:00.032,25248.151
2016-02-10 00:44:00.034,25250.153
2016-02-10 00:45:00.035,25249.674
2016-02-10 00:46:00.036,25234.721
2016-02-10 00:47:00.037,25248.692
2016-02-10 00:48:00.039,25249.213
2016-02-10 00:49:00.040,25249.32
2016-02-10 00:50:00.026,25246.975
2016-02-10 00:51:00.027,25245.327
2016-02-10 00:52:00.028,25245.373
