Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Abubakar Abbas Abbas,M,20.0,175.0,66.0,Bahrain,2016,Athletics Men's 400 meters,
Maher Abbas,M,22.0,178.0,78.0,Lebanon,1988,Athletics Men's 400 meters,
Moustafa Abdel Naser,M,21.0,176.0,74.0,Libya,1996,Athletics Men's 400 meters,
Hassane Abdou,M,23.0,185.0,67.0,Comoros,1996,Athletics Men's 400 meters,
Nagmeldin Ali Abubakr,M,18.0,172.0,63.0,Sudan,2004,Athletics Men's 400 meters,
Nagmeldin Ali Abubakr,M,22.0,172.0,63.0,Sudan,2008,Athletics Men's 400 meters,
E. Doan Acarbay,M,21.0,,,Turkey,1948,Athletics Men's 400 meters,
E. Doan Acarbay,M,25.0,,,Turkey,1952,Athletics Men's 400 meters,
Fernando Acevedo Portugues,M,26.0,175.0,65.0,Peru,1972,Athletics Men's 400 meters,
Joseph Adam,M,27.0,172.0,70.0,Seychelles,1992,Athletics Men's 400 meters,
Zoltn Adamik,M,23.0,175.0,71.0,Hungary,1952,Athletics Men's 400 meters,
James Aryee Addy,M,24.0,183.0,75.0,Ghana,1964,Athletics Men's 400 meters,
Gadi Ado,M,20.0,173.0,61.0,Uganda,1960,Athletics Men's 400 meters,
Gustavo Hernando Aguirre,M,23.0,185.0,75.0,Argentina,2000,Athletics Men's 400 meters,
Abdullah Ali Ahmed,M,26.0,181.0,73.0,Libya,1988,Athletics Men's 400 meters,
Toyoyi Aihara,M,22.0,,,Japan,1936,Athletics Men's 400 meters,
John Creyghton Ainsworth-Davis,M,25.0,,,Great Britain,1920,Athletics Men's 400 meters,
William Michael Jeffrey Akabi-Davis,M,17.0,187.0,58.0,Sierra Leone,1980,Athletics Men's 400 meters,
Kriss Kezie Uche Chukwu Duru Akabusi,M,25.0,185.0,81.0,Great Britain,1984,Athletics Men's 400 meters,
Kanji Akagi,M,23.0,,,Japan,1956,Athletics Men's 400 meters,
Kossi Casimir Akoto,M,23.0,167.0,73.0,Togo,1992,Athletics Men's 400 meters,
Kossi Casimir Akoto,M,27.0,167.0,73.0,Togo,1996,Athletics Men's 400 meters,
Saeed Ali Al-Adhreai,M,21.0,171.0,64.0,Yemen,2004,Athletics Men's 400 meters,
Ahmed Mahmoud Al-Assiri,M,24.0,180.0,72.0,Saudi Arabia,1976,Athletics Men's 400 meters,
Hamdan Awdah Al-Bishi,M,19.0,180.0,70.0,Saudi Arabia,2000,Athletics Men's 400 meters,
Hamdan Awdah Al-Bishi,M,23.0,180.0,70.0,Saudi Arabia,2004,Athletics Men's 400 meters,
Mohamed Hamed Al-Bishi,M,20.0,170.0,65.0,Saudi Arabia,1996,Athletics Men's 400 meters,
Mohamed Jaman Al-Dosari,M,26.0,167.0,60.0,Saudi Arabia,1972,Athletics Men's 400 meters,
Bahaa Al-Farra,M,21.0,175.0,65.0,Palestine,2012,Athletics Men's 400 meters,
Sulaiman Juma Obaid Al-Habsi,M,18.0,165.0,60.0,Oman,1988,Athletics Men's 400 meters,
Rashid Ismail Al-Jirbi,M,,171.0,61.0,United Arab Emirates,1984,Athletics Men's 400 meters,
Basheer Mohamed Al-Khewani,M,18.0,175.0,68.0,Yemen,2000,Athletics Men's 400 meters,
Mohamed Amer Al-Rashed Al-Malky,M,21.0,176.0,62.0,Oman,1984,Athletics Men's 400 meters,
Mohamed Amer Al-Rashed Al-Malky,M,25.0,176.0,62.0,Oman,1988,Athletics Men's 400 meters,
Mohamed Amer Al-Rashed Al-Malky,M,29.0,176.0,62.0,Oman,1992,Athletics Men's 400 meters,
Haji Bakr Al-Qahtani,M,23.0,173.0,63.0,Saudi Arabia,1988,Athletics Men's 400 meters,
Fawzi Dahesh Al-Shammari,M,21.0,185.0,65.0,Kuwait,2000,Athletics Men's 400 meters,
Fawzi Dahesh Al-Shammari,M,25.0,185.0,65.0,Kuwait,2004,Athletics Men's 400 meters,
"Josip ""Jozo"" Alebi",M,25.0,177.0,72.0,Yugoslavia,1972,Athletics Men's 400 meters,
"Josip ""Jozo"" Alebi",M,29.0,177.0,72.0,Yugoslavia,1976,Athletics Men's 400 meters,
"Josip ""Jozo"" Alebi",M,33.0,177.0,72.0,Yugoslavia,1980,Athletics Men's 400 meters,
Denis Sergeyevich Alekseyev,M,20.0,185.0,76.0,Russia,2008,Athletics Men's 400 meters,
Anwar Mohamed Ali,M,25.0,170.0,58.0,Yemen,1996,Athletics Men's 400 meters,
Mehboob Ali,M,26.0,,,Pakistan,2016,Athletics Men's 400 meters,
Arvid Folke Alnevik (Andersson-),M,28.0,182.0,70.0,Sweden,1948,Athletics Men's 400 meters,
Jos Manuel lvarez,M,,170.0,,Mexico,1932,Athletics Men's 400 meters,
Solomon Amegatcher,M,21.0,180.0,70.0,Ghana,1992,Athletics Men's 400 meters,
Mohamed Amir,M,22.0,168.0,64.0,Maldives,1992,Athletics Men's 400 meters,
Mohamed Amir,M,26.0,168.0,64.0,Maldives,1996,Athletics Men's 400 meters,
Guillermo J. Amparan,M,,,,Mexico,1924,Athletics Men's 400 meters,
Abdul Karim Ohimai Amu,M,23.0,185.0,77.0,Nigeria,1956,Athletics Men's 400 meters,
Abdul Karim Ohimai Amu,M,26.0,185.0,77.0,Nigeria,1960,Athletics Men's 400 meters,
Sotirios Anastasopoulos,M,,,,Greece,1906,Athletics Men's 400 meters,
Juan Carlos Anderson Munz,M,23.0,,,Argentina,1936,Athletics Men's 400 meters,
William Davidson Anderson,M,,,,Great Britain,1906,Athletics Men's 400 meters,
John Bowden Anderton,M,22.0,,,South Africa,1952,Athletics Men's 400 meters,
Daniel Andr,M,18.0,178.0,70.0,Mauritius,1984,Athletics Men's 400 meters,
"Georges Ivan ""Go"" Andr (Monnard-)",M,30.0,188.0,85.0,France,1920,Athletics Men's 400 meters,
Frdrique Andrianaivo,M,24.0,176.0,71.0,Madagascar,1972,Athletics Men's 400 meters,
John A. Anzrah,M,29.0,176.0,70.0,Kenya,1984,Athletics Men's 400 meters,
Jaime Aparicio Rodewalt ,M,18.0,170.0,63.0,Colombia,1948,Athletics Men's 400 meters,
Jaime Aparicio Rodewalt ,M,27.0,170.0,63.0,Colombia,1956,Athletics Men's 400 meters,
"Johan Kellgren ""Kell"" Areskough",M,25.0,175.0,65.0,Sweden,1932,Athletics Men's 400 meters,
Ricardo Arguello,M,,,,Mexico,1932,Athletics Men's 400 meters,
Vadim Arkhipchuk,M,27.0,182.0,75.0,Soviet Union,1964,Athletics Men's 400 meters,
douard B. Armand,M,,,,Haiti,1924,Athletics Men's 400 meters,
Gary Armstrong,M,20.0,181.0,65.0,Great Britain,1972,Athletics Men's 400 meters,
Marcel Arnold,M,22.0,183.0,78.0,Switzerland,1984,Athletics Men's 400 meters,
John Asare-Antwi,M,24.0,177.0,65.0,Ghana,1960,Athletics Men's 400 meters,
Charles Asati,M,26.0,178.0,68.0,Kenya,1972,Athletics Men's 400 meters,
Victor Asirvatham,M,28.0,168.0,60.0,Malaysia,1968,Athletics Men's 400 meters,
Jos Nicols Astacio,M,21.0,166.0,49.0,El Salvador,1968,Athletics Men's 400 meters,
Arthur Astley,M,27.0,,,Great Britain,1908,Athletics Men's 400 meters,
"Erik Johannes ""sa"" strm",M,22.0,,,Finland,1924,Athletics Men's 400 meters,
Casimiro Asumu Nze,M,21.0,,,Equatorial Guinea,1996,Athletics Men's 400 meters,
