Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Aqarab Abbas,M,22.0,190.0,88.0,Pakistan,1996,Athletics Men's Hammer Throw,
Andrey Khakimovich Abduvaliyev,M,26.0,190.0,125.0,Unified Team,1992,Athletics Men's Hammer Throw,Gold
Andrey Khakimovich Abduvaliyev,M,34.0,190.0,125.0,Uzbekistan,2000,Athletics Men's Hammer Throw,
Isao Ko Abe,M,24.0,177.0,75.0,Japan,1936,Athletics Men's Hammer Throw,
Arvid berg,M,26.0,,,Sweden,1912,Athletics Men's Hammer Throw,
Jacques Accambray,M,22.0,194.0,125.0,France,1972,Athletics Men's Hammer Throw,
Jacques Accambray,M,26.0,194.0,125.0,France,1976,Athletics Men's Hammer Throw,
Harald Agger,M,19.0,,,Denmark,1908,Athletics Men's Hammer Throw,
Rashid Saad Riyadh Al-Ameeri,M,25.0,177.0,125.0,Bahrain,1992,Athletics Men's Hammer Throw,
Waleed Saleh Al-Bekheet,M,23.0,190.0,98.0,Kuwait,1988,Athletics Men's Hammer Throw,
Waleed Saleh Al-Bekheet,M,27.0,190.0,98.0,Kuwait,1992,Athletics Men's Hammer Throw,
Mostafa Muhammad Hisham Muhammad Salah Abdulhamid Al-Gamel,M,23.0,191.0,96.0,Egypt,2012,Athletics Men's Hammer Throw,
Ali Mohamed Gharib Al-Zinkawi,M,20.0,195.0,102.5,Kuwait,2004,Athletics Men's Hammer Throw,
Ali Mohamed Gharib Al-Zinkawi,M,24.0,195.0,102.5,Kuwait,2008,Athletics Men's Hammer Throw,
Ali Mohamed Gharib Al-Zinkawi,M,28.0,195.0,102.5,Kuwait,2012,Athletics Men's Hammer Throw,
Sergey Petrovich Alay,M,31.0,185.0,105.0,Belarus,1996,Athletics Men's Hammer Throw,
Eduardo Martins Albuquerque,M,32.0,178.0,103.0,Portugal,1960,Athletics Men's Hammer Throw,
Peter Charles Allday,M,25.0,,,Great Britain,1952,Athletics Men's Hammer Throw,
Peter Charles Allday,M,29.0,,,Great Britain,1956,Athletics Men's Hammer Throw,
Ernst Ammann,M,27.0,188.0,113.0,Switzerland,1968,Athletics Men's Hammer Throw,
