Latitude,Longitude,Chron,Age
-30.09146,-13.9941,C1r,0.78
-30.12671,-14.30114,C2An,2.581
-30.19638,-14.92393,C3An,5.894
-30.26769,-15.59151,C5n,9.74
-30.31262,-16.02971,C5An,11.935
-30.34642,-16.37105,C5AAn,12.991
-30.39396,-16.86629,C5ADr,14.612
-30.44103,-17.3747,C5Cr,16.726
-30.45095,-17.48616,C5Dn,17.277
-30.48375,-17.8603,C6n,19.048
-30.51239,-18.19459,C6An,20.518
-30.57727,-19.00638,C7n,24.73
-30.6215,-19.59461,C9n,27.027
-30.68141,-20.45441,C12n,30.479
-30.72263,-21.11108,C13n,33.058
-30.74894,-21.54938,C15n,34.655
-30.77597,-22.04073,C17n,36.618
-30.79798,-22.45917,C18n,38.426
-30.83138,-23.15723,C19r,41.521
-30.87598,-24.24552,C21n,46.264
-30.9005,-24.98273,C22r,49.714
-30.91388,-25.44535,C24n,52.364
-30.92809,-25.99713,C25n,55.904
-30.94333,-26.77104,C27r,61.276
-30.94908,-27.14849,C29n,63.976
-30.95233,-27.39572,C30n,65.578
-30.95824,-27.98517,C32r,68.737
