Name,Sex,Age,Height,Weight,Team,Year,Medal,BMI
Abubakar Abbas Abbas,M,20.0,175.0,66.0,Bahrain,2016,,21.551020408163264
Maher Abbas,M,22.0,178.0,78.0,Lebanon,1988,,24.61810377477591
Moustafa Abdel Naser,M,21.0,176.0,74.0,Libya,1996,,23.889462809917354
Hassane Abdou,M,23.0,185.0,67.0,Comoros,1996,,19.576333089846603
Nagmeldin Ali Abubakr,M,18.0,172.0,63.0,Sudan,2004,,21.295294753921038
Nagmeldin Ali Abubakr,M,22.0,172.0,63.0,Sudan,2008,,21.295294753921038
E. Doan Acarbay,M,21.0,,,Turkey,1948,,
E. Doan Acarbay,M,25.0,,,Turkey,1952,,
Fernando Acevedo Portugues,M,26.0,175.0,65.0,Peru,1972,,21.224489795918366
Joseph Adam,M,27.0,172.0,70.0,Seychelles,1992,,23.66143861546782
Zoltn Adamik,M,23.0,175.0,71.0,Hungary,1952,,23.183673469387756
James Aryee Addy,M,24.0,183.0,75.0,Ghana,1964,,22.39541341933172
Gadi Ado,M,20.0,173.0,61.0,Uganda,1960,,20.38156971499215
Gustavo Hernando Aguirre,M,23.0,185.0,75.0,Argentina,2000,,21.91380569758948
Abdullah Ali Ahmed,M,26.0,181.0,73.0,Libya,1988,,22.282592106468055
Toyoyi Aihara,M,22.0,,,Japan,1936,,
John Creyghton Ainsworth-Davis,M,25.0,,,Great Britain,1920,,
William Michael Jeffrey Akabi-Davis,M,17.0,187.0,58.0,Sierra Leone,1980,,16.586119134090193
Kriss Kezie Uche Chukwu Duru Akabusi,M,25.0,185.0,81.0,Great Britain,1984,,23.66691015339664
Kanji Akagi,M,23.0,,,Japan,1956,,
Kossi Casimir Akoto,M,23.0,167.0,73.0,Togo,1992,,26.175194521137367
Kossi Casimir Akoto,M,27.0,167.0,73.0,Togo,1996,,26.175194521137367
Saeed Ali Al-Adhreai,M,21.0,171.0,64.0,Yemen,2004,,21.887076365377382
Ahmed Mahmoud Al-Assiri,M,24.0,180.0,72.0,Saudi Arabia,1976,,22.22222222222222
