Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Aliyah Abrams,F,19.0,163.0,53.0,Guyana,2016,Athletics Women's 400 meters,
"Folashade ""Shade"" Abugan",F,17.0,150.0,64.0,Nigeria,2008,Athletics Women's 400 meters,
Assumpta Achuo-Bei,F,20.0,159.0,55.0,Cameroon,1988,Athletics Women's 400 meters,
Asuncin Acosta Galano,F,18.0,169.0,52.0,Cuba,1972,Athletics Women's 400 meters,
Mercy Addy,F,20.0,161.0,58.0,Ghana,1984,Athletics Women's 400 meters,
Mercy Addy,F,32.0,161.0,58.0,Ghana,1996,Athletics Women's 400 meters,
Oluwakemi 'Kemi' Adekoya,F,23.0,166.0,63.0,Bahrain,2016,Athletics Women's 400 meters,
"Olabisi ""Bisi"" Afolabi",F,20.0,180.0,62.0,Nigeria,1996,Athletics Women's 400 meters,
"Olabisi ""Bisi"" Afolabi",F,24.0,180.0,62.0,Nigeria,2000,Athletics Women's 400 meters,
Mary Akinyemi (-Akinkuowo),F,25.0,168.0,62.0,Nigeria,1980,Athletics Women's 400 meters,
Liudmyla Vasylivna Aksenova (Shapovalova-),F,29.0,165.0,58.0,Soviet Union,1976,Athletics Women's 400 meters,
Dalal Masfir Al-Harith,F,16.0,160.0,55.0,Qatar,2016,Athletics Women's 400 meters,
"Danielle Remilekun B. ""Danni"" Alakija",F,16.0,182.0,71.0,Fiji,2012,Athletics Women's 400 meters,
Kineke Alicia Alexander,F,22.0,178.0,65.0,Saint Vincent and the Grenadines,2008,Athletics Women's 400 meters,
Kineke Alicia Alexander,F,26.0,178.0,65.0,Saint Vincent and the Grenadines,2012,Athletics Women's 400 meters,
Kineke Alicia Alexander,F,30.0,178.0,65.0,Saint Vincent and the Grenadines,2016,Athletics Women's 400 meters,
Ghada Ali,F,19.0,166.0,67.0,Libya,2008,Athletics Women's 400 meters,
Shifana Ali,F,20.0,153.0,52.0,Maldives,2004,Athletics Women's 400 meters,
Zourah Mohamed Ali,F,17.0,162.0,53.0,Djibouti,2012,Athletics Women's 400 meters,
Haissa Ali Garba,F,18.0,,,Niger,2000,Athletics Women's 400 meters,
Maria Laura Almiro,F,26.0,162.0,50.0,Brazil,2004,Athletics Women's 400 meters,
Maria Laura Almiro,F,30.0,162.0,50.0,Brazil,2008,Athletics Women's 400 meters,
Junaidah Aman,F,17.0,162.0,42.0,Malaysia,1972,Athletics Women's 400 meters,
Christine Amertil (-Ling),F,21.0,168.0,54.0,Bahamas,2000,Athletics Women's 400 meters,
Christine Amertil (-Ling),F,24.0,168.0,54.0,Bahamas,2004,Athletics Women's 400 meters,
Christine Amertil (-Ling),F,28.0,168.0,54.0,Bahamas,2008,Athletics Women's 400 meters,
Zamira Shamiliyevna Amirova,F,25.0,167.0,58.0,Uzbekistan,2004,Athletics Women's 400 meters,
"Judith Florence ""Judy"" Amoore-Pollock",F,24.0,163.0,55.0,Australia,1964,Athletics Women's 400 meters,Bronze
Malena Ivanova Andonova,F,23.0,169.0,57.0,Bulgaria,1980,Athletics Women's 400 meters,
LaDonna M. Antoine (-Watkins),F,21.0,168.0,61.0,Canada,1996,Athletics Women's 400 meters,
LaDonna M. Antoine (-Watkins),F,25.0,168.0,61.0,Canada,2000,Athletics Women's 400 meters,
Nataliya Nikolayevna Antyukh,F,23.0,182.0,69.0,Russia,2004,Athletics Women's 400 meters,Bronze
Helga Arendt,F,24.0,178.0,66.0,West Germany,1988,Athletics Women's 400 meters,
Judith Ayaa,F,20.0,174.0,55.0,Uganda,1972,Athletics Women's 400 meters,
Gloria Ayanlaja (-Obajimi),F,24.0,157.0,45.0,Nigeria,1980,Athletics Women's 400 meters,
Ctia Isabel da Silva Azevedo,F,22.0,170.0,50.0,Portugal,2016,Athletics Women's 400 meters,
Airat Bakare,F,21.0,178.0,60.0,Nigeria,1988,Athletics Women's 400 meters,
"Kungu ""Christine"" Bakombo",F,26.0,158.0,49.0,Congo (Kinshasa),1988,Athletics Women's 400 meters,
Gyrgyi Balogh-Szomov,F,24.0,170.0,50.0,Hungary,1972,Athletics Women's 400 meters,
Margaret Bamgbose,F,22.0,171.0,63.0,Nigeria,2016,Athletics Women's 400 meters,
Helen Catherine Barnett-Burkart,F,26.0,170.0,62.0,Great Britain,1984,Athletics Women's 400 meters,
Trish Bartholomew,F,21.0,160.0,59.0,Grenada,2008,Athletics Women's 400 meters,
Norma Enriqueta Basilio Sotelo,F,20.0,176.0,59.0,Mexico,1968,Athletics Women's 400 meters,
Batgereliin Mngntuyaa,F,19.0,163.0,51.0,Mongolia,2008,Athletics Women's 400 meters,
Justine Bayiga,F,29.0,155.0,57.0,Uganda,2008,Athletics Women's 400 meters,
